CodeNo,BTSName,SiteOnVoltage,SiteOnBat,DgOnLoad,HasRecord,RecordDate
IMJBL-39215,Magarmuna,55933,14956,15511,1,2017-05-07
IMJBL-39215,Magarmuna,75810,7588,3002,1,2017-05-08
IMJBL-39215,Magarmuna,76380,5670,4350,1,2017-05-09
IMJBL-39215,Magarmuna,84295,2105,0,1,2017-05-10
IMJBL-39215,Magarmuna,75488,7492,3420,1,2017-05-11
IMJBL-39215,Magarmuna,82180,4220,0,1,2017-05-12
IMJBL-39215,Magarmuna,83921,2284,195,1,2017-05-13
IMJBL-39215,Magarmuna,62759,16600,7041,1,2017-05-14
IMJBL-39215,Magarmuna,79774,5874,752,1,2017-05-15
IMJBL-39215,Magarmuna,73674,11136,1590,1,2017-05-16
IMJBL-39215,Magarmuna,81755,4542,103,1,2017-05-17
IMJBL-39215,Magarmuna,83620,2780,0,1,2017-05-18
IMJBL-39215,Magarmuna,75419,10981,0,1,2017-05-19
IMJBL-39215,Magarmuna,35488,50050,862,1,2017-05-20
IMJBL-39215,Magarmuna,77306,6351,2743,1,2017-05-21
IMJBL-39215,Magarmuna,69823,12731,3846,1,2017-05-22
IMJBL-39215,Magarmuna,77189,9211,0,1,2017-05-23
IMJBL-39215,Magarmuna,85206,1194,0,1,2017-05-24
IMJBL-39215,Magarmuna,82300,4100,0,1,2017-05-25
IMJBL-39215,Magarmuna,81540,4860,0,1,2017-05-26
IMJBL-39215,Magarmuna,55326,29224,1850,1,2017-05-27
IMJBL-39215,Magarmuna,37796,23772,24832,1,2017-05-28
IMJBL-39215,Magarmuna,55879,24156,6365,1,2017-05-29
IMJBL-39215,Magarmuna,30928,43876,11596,1,2017-05-30
IMJBL-39215,Magarmuna,61306,17844,7250,1,2017-05-31
IMJBL-39215,Magarmuna,71116,15284,0,1,2017-06-01
IMJBL-39215,Magarmuna,74508,6927,4965,1,2017-06-02
IMJBL-39215,Magarmuna,79025,7375,0,1,2017-06-03
IMJBL-39215,Magarmuna,74544,11697,159,1,2017-06-04
IMJBL-39215,Magarmuna,79601,6214,585,1,2017-06-05
IMJBL-39215,Magarmuna,71447,11747,3206,1,2017-06-06
IMJBL-39215,Magarmuna,62209,15153,9038,1,2017-06-07
IMJBL-39215,Magarmuna,73466,12825,109,1,2017-06-08
IMJBL-39215,Magarmuna,80170,6230,0,1,2017-06-09
IMJBL-39215,Magarmuna,72654,13746,0,1,2017-06-10
IMJBL-39215,Magarmuna,80497,5347,556,1,2017-06-11
IMJBL-39215,Magarmuna,71428,11203,3769,1,2017-06-12
IMJBL-39215,Magarmuna,50698,23643,12059,1,2017-06-13
IMJBL-39215,Magarmuna,79263,7137,0,1,2017-06-14
IMJBL-39215,Magarmuna,81765,4635,0,1,2017-06-15
IMJBL-39215,Magarmuna,81868,3867,665,1,2017-06-16
IMJBL-39215,Magarmuna,83233,3167,0,1,2017-06-17
IMJBL-39215,Magarmuna,79638,5309,1453,1,2017-06-18
IMJBL-39215,Magarmuna,81829,2398,2173,1,2017-06-19
IMJBL-39215,Magarmuna,73002,5120,8278,1,2017-06-20
IMJBL-39215,Magarmuna,70123,8075,8202,1,2017-06-21
IMJBL-39215,Magarmuna,79988,5751,661,1,2017-06-22
IMJBL-39215,Magarmuna,75510,9025,1865,1,2017-06-23
IMJBL-39215,Magarmuna,27118,28086,31196,1,2017-06-24
IMJBL-39215,Magarmuna,63272,13753,9375,1,2017-06-25
IMJBL-39215,Magarmuna,76026,10309,65,1,2017-06-26
IMJBL-39215,Magarmuna,69009,10749,6642,1,2017-06-27
IMJBL-39215,Magarmuna,46050,21289,19061,1,2017-06-28
IMJBL-39215,Magarmuna,79423,6841,136,1,2017-06-29
IMJBL-39215,Magarmuna,62006,14630,9764,1,2017-06-30
IMJBL-39215,Magarmuna,69384,10820,6196,1,2017-07-01
IMJBL-39215,Magarmuna,84060,2340,0,1,2017-07-02
IMJBL-39215,Magarmuna,85861,539,0,1,2017-07-03
IMJBL-39215,Magarmuna,80546,4233,1621,1,2017-07-04
IMJBL-39215,Magarmuna,81597,4803,0,1,2017-07-05
IMJBL-39215,Magarmuna,68022,8741,9637,1,2017-07-06
IMJBL-39215,Magarmuna,76797,6844,2759,1,2017-07-07
IMJBL-39215,Magarmuna,83800,2600,0,1,2017-07-08
IMJBL-39215,Magarmuna,73917,8169,4314,1,2017-07-09
IMJBL-39215,Magarmuna,81025,3605,1770,1,2017-07-10
IMJBL-39215,Magarmuna,82336,3861,203,1,2017-07-11
IMJBL-39215,Magarmuna,76877,7720,1803,1,2017-07-12
IMJBL-39215,Magarmuna,69455,10535,6410,1,2017-07-13
IMJBL-39215,Magarmuna,78466,6807,1127,1,2017-07-14
IMJBL-39215,Magarmuna,77995,6581,1824,1,2017-07-15
IMJBL-39215,Magarmuna,82377,4023,0,1,2017-07-16
IMJBL-39215,Magarmuna,69559,7280,9561,1,2017-07-17
IMJBL-39215,Magarmuna,49321,15687,21392,1,2017-07-18
IMJBL-39215,Magarmuna,75803,6870,3727,1,2017-07-19
IMJBL-39215,Magarmuna,73363,7115,5922,1,2017-07-20
IMJBL-39215,Magarmuna,65902,13485,7013,1,2017-07-21
IMJBL-39215,Magarmuna,72578,6051,7771,1,2017-07-22
IMJBL-39215,Magarmuna,48225,11387,26788,1,2017-07-23
IMJBL-39215,Magarmuna,73731,9244,3425,1,2017-07-24
IMJBL-39215,Magarmuna,78877,4880,2643,1,2017-07-25
IMJBL-39215,Magarmuna,72882,8027,5491,1,2017-07-26
IMJBL-39215,Magarmuna,79477,4038,2885,1,2017-07-27
IMJBL-39215,Magarmuna,83446,2954,0,1,2017-07-28
IMJBL-39215,Magarmuna,81802,4598,0,1,2017-07-29
IMJBL-39215,Magarmuna,84040,2119,241,1,2017-07-30
IMJBL-39215,Magarmuna,75025,9569,1806,1,2017-07-31
IMJBL-39215,Magarmuna,75730,7603,3067,1,2017-08-01
IMJBL-39215,Magarmuna,83734,1948,718,1,2017-08-02
IMJBL-39215,Magarmuna,66390,9784,10226,1,2017-08-03
IMJBL-39215,Magarmuna,81796,2645,1959,1,2017-08-04
IMJBL-39215,Magarmuna,75947,3002,7451,1,2017-08-05
IMJBL-39215,Magarmuna,79195,4566,2639,1,2017-08-06
IMJBL-39215,Magarmuna,82746,3654,0,1,2017-08-07
IMJBL-39215,Magarmuna,77933,2404,6063,1,2017-08-08
IMJBL-39215,Magarmuna,74388,6550,5462,1,2017-08-09
IMJBL-39215,Magarmuna,76190,7685,2525,1,2017-08-10
IMJBL-39215,Magarmuna,80760,5401,239,1,2017-08-11
IMJBL-39215,Magarmuna,79993,5202,1205,1,2017-08-12
IMJBL-39215,Magarmuna,79356,5125,1919,1,2017-08-13
IMJBL-39215,Magarmuna,75289,2251,8860,1,2017-08-14
IMJBL-39215,Magarmuna,81357,3929,1114,1,2017-08-15
IMJBL-39215,Magarmuna,68857,8852,8691,1,2017-08-16
IMJBL-39215,Magarmuna,66266,8798,11336,1,2017-08-17
IMJBL-39215,Magarmuna,79024,5159,2217,1,2017-08-18
IMJBL-39215,Magarmuna,80802,4838,760,1,2017-08-19
IMJBL-39215,Magarmuna,63086,18025,5289,1,2017-08-20
IMJBL-39215,Magarmuna,44936,34576,6888,1,2017-08-21
IMJBL-39215,Magarmuna,72186,6639,7575,1,2017-08-22
IMJBL-39215,Magarmuna,84043,2357,0,1,2017-08-23
IMJBL-39215,Magarmuna,49107,16020,21273,1,2017-08-24
IMJBL-39215,Magarmuna,62149,16227,8024,1,2017-08-25
IMJBL-39215,Magarmuna,77541,4895,3964,1,2017-08-26
IMJBL-39215,Magarmuna,73769,8917,3714,1,2017-08-27
IMJBL-39215,Magarmuna,57981,18405,10014,1,2017-08-28
IMJBL-39215,Magarmuna,47453,20633,18314,1,2017-08-29
IMJBL-39215,Magarmuna,75986,10414,0,1,2017-08-30
IMJBL-39215,Magarmuna,81755,4645,0,1,2017-09-01
IMJBL-39215,Magarmuna,73891,7142,5367,1,2017-09-02
IMJBL-39215,Magarmuna,79548,6683,169,1,2017-09-03
IMJBL-39215,Magarmuna,84232,2048,120,1,2017-09-04
IMJBL-39215,Magarmuna,79258,5411,1731,1,2017-09-05
IMJBL-39215,Magarmuna,81199,5201,0,1,2017-09-06
IMJBL-39215,Magarmuna,80753,4682,965,1,2017-09-07
IMJBL-39215,Magarmuna,79588,5731,1081,1,2017-09-08
IMJBL-39215,Magarmuna,75794,6519,4087,1,2017-09-09
IMJBL-39215,Magarmuna,80599,5561,240,1,2017-09-10
IMJBL-39215,Magarmuna,81698,4458,244,1,2017-09-11
IMJBL-39215,Magarmuna,84585,1815,0,1,2017-09-12
IMJBL-39215,Magarmuna,84441,1959,0,1,2017-09-13
IMJBL-39215,Magarmuna,73178,8669,4553,1,2017-09-14
IMJBL-39215,Magarmuna,84476,1924,0,1,2017-09-15
IMJBL-39215,Magarmuna,85567,833,0,1,2017-09-16
IMJBL-39215,Magarmuna,77960,5679,2761,1,2017-09-17
IMJBL-39215,Magarmuna,60212,11613,14575,1,2017-09-18
IMJBL-39215,Magarmuna,59349,13453,13598,1,2017-09-19
IMJBL-39215,Magarmuna,79598,6682,120,1,2017-09-20
IMJBL-39215,Magarmuna,83873,2527,0,1,2017-09-21
IMJBL-39215,Magarmuna,76430,9494,476,1,2017-09-22
IMJBL-39215,Magarmuna,80451,3851,2098,1,2017-09-23
IMJBL-39215,Magarmuna,80752,5528,120,1,2017-09-24
IMJBL-39215,Magarmuna,80330,6070,0,1,2017-09-25
IMJBL-39215,Magarmuna,82718,360,3322,1,2017-09-26
IMJBL-39215,Magarmuna,84956,844,600,1,2017-09-27
IMJBL-39215,Magarmuna,84600,1680,120,1,2017-09-28
IMJBL-39215,Magarmuna,77823,287,8290,1,2017-09-29
IMJBL-39215,Magarmuna,83445,365,2590,1,2017-09-30
IMJBL-39215,Magarmuna,84359,1197,844,1,2017-10-01
IMJBL-39215,Magarmuna,85202,1198,0,1,2017-10-02
IMJBL-39215,Magarmuna,70616,10138,5646,1,2017-10-03
IMJBL-39215,Magarmuna,76425,7093,2882,1,2017-10-04
IMJBL-39215,Magarmuna,82992,2324,1084,1,2017-10-05
IMJBL-39215,Magarmuna,82328,3952,120,1,2017-10-06
IMJBL-39215,Magarmuna,80586,4329,1485,1,2017-10-07
IMJBL-39215,Magarmuna,69252,9579,7569,1,2017-10-08
IMJBL-39215,Magarmuna,73639,8787,3974,1,2017-10-09
IMJBL-39215,Magarmuna,60286,13246,12868,1,2017-10-10
IMJBL-39215,Magarmuna,77119,8216,1065,1,2017-10-11
IMJBL-39215,Magarmuna,68642,12201,5557,1,2017-10-12
IMJBL-39215,Magarmuna,80202,5719,479,1,2017-10-13
IMJBL-39215,Magarmuna,78042,4990,3368,1,2017-10-14
IMJBL-39215,Magarmuna,72524,7328,6548,1,2017-10-15
IMJBL-39215,Magarmuna,72663,10118,3619,1,2017-10-16
IMJBL-39215,Magarmuna,84513,1887,0,1,2017-10-17
IMJBL-39215,Magarmuna,80586,3294,2520,1,2017-10-18
IMJBL-39215,Magarmuna,86400,0,0,1,2017-10-19
IMJBL-39215,Magarmuna,79891,5154,1355,1,2017-10-20
IMJBL-39215,Magarmuna,83522,2232,646,1,2017-10-21
IMJBL-39215,Magarmuna,85430,970,0,1,2017-10-22
IMJBL-39215,Magarmuna,83240,2199,961,1,2017-10-23
IMJBL-39215,Magarmuna,81461,4574,365,1,2017-10-24
IMJBL-39215,Magarmuna,78818,5760,1822,1,2017-10-25
IMJBL-39215,Magarmuna,84911,1489,0,1,2017-10-26
IMJBL-39215,Magarmuna,79472,5967,961,1,2017-10-27
IMJBL-39215,Magarmuna,67776,9092,9532,1,2017-10-28
IMJBL-39215,Magarmuna,80099,5954,347,1,2017-10-29
IMJBL-39215,Magarmuna,74906,7582,3912,1,2017-10-30
IMJBL-39215,Magarmuna,81095,3253,2052,1,2017-10-31
IMJBL-39215,Magarmuna,83678,2722,0,1,2017-11-01
IMJBL-39215,Magarmuna,81235,4118,1047,1,2017-11-02
IMJBL-39215,Magarmuna,79826,5047,1527,1,2017-11-03
IMJBL-39215,Magarmuna,85558,842,0,1,2017-11-04
IMJBL-39215,Magarmuna,82883,2782,735,1,2017-11-05
IMJBL-39215,Magarmuna,85485,915,0,1,2017-11-06
IMJBL-39215,Magarmuna,82196,2608,1596,1,2017-11-07
IMJBL-39215,Magarmuna,66342,7603,12455,1,2017-11-08
IMJBL-39215,Magarmuna,81909,2595,1896,1,2017-11-09
IMJBL-39215,Magarmuna,82487,1951,1962,1,2017-11-10
IMJBL-39215,Magarmuna,82381,1677,2342,1,2017-11-11
IMJBL-39215,Magarmuna,66522,5983,13895,1,2017-11-12
IMJBL-39215,Magarmuna,85020,770,610,1,2017-11-13
IMJBL-39215,Magarmuna,83151,1082,2167,1,2017-11-14
IMJBL-39215,Magarmuna,78789,5812,1799,1,2017-11-15
IMJBL-39215,Magarmuna,85277,851,272,1,2017-11-16
IMJBL-39215,Magarmuna,84953,1447,0,1,2017-11-17
IMJBL-39215,Magarmuna,86400,0,0,1,2017-11-18
IMJBL-39215,Magarmuna,84470,1930,0,1,2017-11-19
IMJBL-39215,Magarmuna,85812,359,229,1,2017-11-20
IMJBL-39215,Magarmuna,78027,967,7406,1,2017-11-21
IMJBL-39215,Magarmuna,72223,6396,7781,1,2017-11-22
IMJBL-39215,Magarmuna,84053,2227,120,1,2017-11-23
IMJBL-39215,Magarmuna,79787,6126,487,1,2017-11-24
IMJBL-39215,Magarmuna,77841,6665,1894,1,2017-11-25
IMJBL-39215,Magarmuna,83366,2356,678,1,2017-11-26
IMJBL-39215,Magarmuna,85920,480,0,1,2017-11-27
