CodeNo,BTSName,DgOnLoad,SiteOnBat,HasRecord,RecordDate
IMJBL-38081,Khamtara,0,0,0,3/12/2017
IMJBL-38061,Ganeshpur_ Rptr,0,0,0,3/12/2017
IMREW-46016,Budhanpur,0,0,0,3/12/2017
IMREW-46025,Funga,0,0,0,3/12/2017
IMREW-46023,Nigwani,0,0,0,3/12/2017
IMREW-46017,Pipariya,0,0,0,3/12/2017
IMJBL-15013,BHAROLA,0,0,0,3/12/2017
IMJBL-15023,Karkeli,0,0,0,3/12/2017
IMJBL-38019,Badwara,0,0,0,3/12/2017
IMJBL-38131,KATARIYA,0,0,0,3/12/2017
IMJBL-15027,LOHRA,0,0,0,3/12/2017
IMJBL-15001,Umaria 2,0,0,0,3/12/2017
IMJBL-39215,Magarmuna,0,2747,1,3/13/2017
IMJBL-39356,Sahsan,0,0,1,3/13/2017
IMJBL-39229,Shahpura,0,0,1,3/13/2017
IMJBL-39239,Parsel,3394,0,1,3/13/2017
IMJBL-39222,Patan,0,0,0,3/13/2017
IMJBL-39223,Guru Mohalla-  Patan,0,0,1,3/13/2017
IMJBL-39237,Gubra Kalan,0,0,1,3/13/2017
IMJBL-39292,Khini,0,0,1,3/13/2017
IMREW-46002,Jamuna Pasan,0,0,0,3/13/2017
IMREW-46031,Amadand,0,0,0,3/13/2017
IMJBL-15004,Ghunghuti,0,0,0,3/13/2017
IMJBL-15002,Nowrozabad,0,0,0,3/13/2017
IMJBL-15003,Pali,0,0,0,3/13/2017
IMJBL-15008,Pali BB,0,0,0,3/13/2017
IMJBL-15067,BADERI,0,0,0,3/13/2017
IMJBL-15068,NIGHARI,0,0,0,3/13/2017
IMJBL-15006,Bhagra(Umaria),0,0,0,3/13/2017
IMJBL-38081,Khamtara,0,0,0,3/13/2017
IMJBL-38061,Ganeshpur_ Rptr,0,0,0,3/13/2017
IMREW-46016,Budhanpur,0,0,0,3/13/2017
IMREW-46025,Funga,0,0,0,3/13/2017
IMREW-46023,Nigwani,0,0,0,3/13/2017
IMREW-46017,Pipariya,0,0,0,3/13/2017
IMJBL-15013,BHAROLA,0,0,0,3/13/2017
IMJBL-15023,Karkeli,0,0,0,3/13/2017
IMJBL-38019,Badwara,0,0,0,3/13/2017
IMJBL-38131,KATARIYA,0,0,0,3/13/2017
IMJBL-15027,LOHRA,0,0,0,3/13/2017
IMJBL-15001,Umaria 2,0,0,0,3/13/2017
IMJBL-39215,Magarmuna,0,5138,1,3/14/2017
IMJBL-39356,Sahsan,0,0,1,3/14/2017
IMJBL-39229,Shahpura,0,0,1,3/14/2017
IMJBL-39239,Parsel,285,0,1,3/14/2017
IMJBL-39222,Patan,0,0,0,3/14/2017
IMJBL-39223,Guru Mohalla-  Patan,0,0,1,3/14/2017
IMJBL-39237,Gubra Kalan,0,0,1,3/14/2017
IMJBL-39292,Khini,0,0,1,3/14/2017
IMREW-46002,Jamuna Pasan,0,0,0,3/14/2017
IMREW-46031,Amadand,0,0,0,3/14/2017
IMJBL-15004,Ghunghuti,0,0,0,3/14/2017
IMJBL-15002,Nowrozabad,0,0,0,3/14/2017
IMJBL-15003,Pali,0,0,0,3/14/2017
IMJBL-15008,Pali BB,0,0,0,3/14/2017
IMJBL-15067,BADERI,0,0,0,3/14/2017
IMJBL-15068,NIGHARI,0,0,0,3/14/2017
IMJBL-15006,Bhagra(Umaria),0,0,0,3/14/2017
IMJBL-38081,Khamtara,0,0,0,3/14/2017
IMJBL-38061,Ganeshpur_ Rptr,0,0,0,3/14/2017
IMREW-46016,Budhanpur,0,0,0,3/14/2017
IMREW-46025,Funga,0,0,0,3/14/2017
IMREW-46023,Nigwani,0,0,0,3/14/2017
IMREW-46017,Pipariya,0,0,0,3/14/2017
IMJBL-15013,BHAROLA,0,0,0,3/14/2017
IMJBL-15023,Karkeli,0,0,0,3/14/2017
IMJBL-38019,Badwara,0,0,0,3/14/2017
IMJBL-38131,KATARIYA,0,0,0,3/14/2017
IMJBL-15027,LOHRA,0,0,0,3/14/2017
IMJBL-15001,Umaria 2,0,0,0,3/14/2017
IMJBL-39215,Magarmuna,0,213,1,3/15/2017
IMJBL-39356,Sahsan,4487,0,1,3/15/2017
IMJBL-39229,Shahpura,0,0,1,3/15/2017
IMJBL-39239,Parsel,13734,0,1,3/15/2017
IMJBL-39222,Patan,0,0,0,3/15/2017
IMJBL-39223,Guru Mohalla-  Patan,0,0,1,3/15/2017
IMJBL-39237,Gubra Kalan,1338,0,1,3/15/2017
IMJBL-39292,Khini,0,0,1,3/15/2017
IMREW-46002,Jamuna Pasan,0,0,0,3/15/2017
IMREW-46031,Amadand,0,0,0,3/15/2017
IMJBL-15004,Ghunghuti,0,0,0,3/15/2017
IMJBL-15002,Nowrozabad,0,0,0,3/15/2017
IMJBL-15003,Pali,0,0,0,3/15/2017
IMJBL-15008,Pali BB,0,0,0,3/15/2017
IMJBL-15067,BADERI,0,0,0,3/15/2017
IMJBL-15068,NIGHARI,0,0,0,3/15/2017
IMJBL-15006,Bhagra(Umaria),0,0,0,3/15/2017
IMJBL-38081,Khamtara,0,0,0,3/15/2017
IMJBL-38061,Ganeshpur_ Rptr,0,0,0,3/15/2017
IMREW-46016,Budhanpur,0,0,0,3/15/2017
IMREW-46025,Funga,0,0,0,3/15/2017
IMREW-46023,Nigwani,0,0,0,3/15/2017
IMREW-46017,Pipariya,0,0,0,3/15/2017
IMJBL-15013,BHAROLA,0,0,0,3/15/2017
IMJBL-15023,Karkeli,0,0,0,3/15/2017
IMJBL-38019,Badwara,0,0,0,3/15/2017
IMJBL-38131,KATARIYA,0,0,0,3/15/2017
IMJBL-15027,LOHRA,0,0,0,3/15/2017
IMJBL-15001,Umaria 2,0,0,0,3/15/2017
IMJBL-39215,Magarmuna,0,0,0,3/16/2017
IMJBL-39356,Sahsan,2020,0,1,3/16/2017
IMJBL-39229,Shahpura,0,0,0,3/16/2017
IMJBL-39239,Parsel,0,0,1,3/16/2017
IMJBL-39222,Patan,0,0,0,3/16/2017
IMJBL-39223,Guru Mohalla-  Patan,0,0,0,3/16/2017
IMJBL-39237,Gubra Kalan,0,0,0,3/16/2017
IMJBL-39292,Khini,0,0,1,3/16/2017
IMREW-46002,Jamuna Pasan,0,0,0,3/16/2017
IMREW-46031,Amadand,0,0,0,3/16/2017
IMJBL-15004,Ghunghuti,0,0,0,3/16/2017
IMJBL-15002,Nowrozabad,0,0,1,3/16/2017
IMJBL-15003,Pali,0,0,0,3/16/2017
IMJBL-15008,Pali BB,0,0,0,3/16/2017
IMJBL-15067,BADERI,0,0,0,3/16/2017
IMJBL-15068,NIGHARI,0,0,0,3/16/2017
IMJBL-15006,Bhagra(Umaria),0,0,0,3/16/2017
IMJBL-38081,Khamtara,0,0,0,3/16/2017
IMJBL-38061,Ganeshpur_ Rptr,0,0,0,3/16/2017
IMREW-46016,Budhanpur,0,0,0,3/16/2017
IMREW-46025,Funga,0,0,0,3/16/2017
IMREW-46023,Nigwani,0,0,0,3/16/2017
IMREW-46017,Pipariya,0,0,0,3/16/2017
IMJBL-15013,BHAROLA,0,0,0,3/16/2017
IMJBL-15023,Karkeli,0,0,0,3/16/2017
IMJBL-38019,Badwara,0,0,0,3/16/2017
IMJBL-38131,KATARIYA,0,0,0,3/16/2017
IMJBL-15027,LOHRA,0,0,0,3/16/2017
IMJBL-15001,Umaria 2,0,0,0,3/16/2017
IMJBL-39215,Magarmuna,120,27960,1,3/17/2017
IMJBL-39356,Sahsan,0,0,1,3/17/2017
IMJBL-39229,Shahpura,0,0,0,3/17/2017
IMJBL-39239,Parsel,0,0,1,3/17/2017
IMJBL-39222,Patan,0,0,0,3/17/2017
IMJBL-39223,Guru Mohalla-  Patan,0,0,0,3/17/2017
IMJBL-39237,Gubra Kalan,0,0,1,3/17/2017
IMJBL-39292,Khini,0,0,1,3/17/2017
IMREW-46002,Jamuna Pasan,0,0,0,3/17/2017
IMREW-46031,Amadand,0,0,1,3/17/2017
IMJBL-15004,Ghunghuti,0,0,0,3/17/2017
IMJBL-15002,Nowrozabad,0,0,1,3/17/2017
IMJBL-15003,Pali,0,0,0,3/17/2017
IMJBL-15008,Pali BB,0,0,0,3/17/2017
IMJBL-15067,BADERI,842,0,1,3/17/2017
IMJBL-15068,NIGHARI,5595,0,1,3/17/2017
IMJBL-15006,Bhagra(Umaria),0,0,0,3/17/2017
IMJBL-38081,Khamtara,0,0,1,3/17/2017
IMJBL-38061,Ganeshpur_ Rptr,0,0,0,3/17/2017
